"mate"	"(Moby_Dick.txt, 52)"
"boys"	"(Moby_Dick.txt, 30), (Adventures_of_Huckleberry_Finn.txt, 12)"
"brain"	"(Moby_Dick.txt, 26), (Adventures_of_Huckleberry_Finn.txt, 2)"
"breakfast"	"(Adventures_of_Huckleberry_Finn.txt, 25), (Moby_Dick.txt, 9)"
"buck"	"(Adventures_of_Huckleberry_Finn.txt, 21), (Moby_Dick.txt, 1)"
"bulwarks"	"(Moby_Dick.txt, 27)"
"business"	"(Moby_Dick.txt, 23), (Adventures_of_Huckleberry_Finn.txt, 22)"
"but"	"(Moby_Dick.txt, 75), (Adventures_of_Huckleberry_Finn.txt, 10)"
"by"	"(Adventures_of_Huckleberry_Finn.txt, 40), (Moby_Dick.txt, 36), (Hamlet.txt, 4)"
"cabin"	"(Moby_Dick.txt, 54), (Adventures_of_Huckleberry_Finn.txt, 13)"
"calm"	"(Moby_Dick.txt, 22)"
"can"	"(Adventures_of_Huckleberry_Finn.txt, 113), (Moby_Dick.txt, 53), (Hamlet.txt, 3)"
"captain"	"(Moby_Dick.txt, 93), (Adventures_of_Huckleberry_Finn.txt, 2)"
"carpenter"	"(Moby_Dick.txt, 23), (Hamlet.txt, 2), (Adventures_of_Huckleberry_Finn.txt, 1)"
"case"	"(Moby_Dick.txt, 23), (Adventures_of_Huckleberry_Finn.txt, 13), (Hamlet.txt, 1)"
"chase"	"(Moby_Dick.txt, 25)"
"clo"	"(Hamlet.txt, 29), (Adventures_of_Huckleberry_Finn.txt, 2)"
"coast"	"(Moby_Dick.txt, 22)"
"coffin"	"(Moby_Dick.txt, 26), (Adventures_of_Huckleberry_Finn.txt, 12), (Hamlet.txt, 1)"
"come"	"(Adventures_of_Huckleberry_Finn.txt, 71), (Moby_Dick.txt, 38), (Hamlet.txt, 37)"
"coming"	"(Adventures_of_Huckleberry_Finn.txt, 22), (Moby_Dick.txt, 8), (Hamlet.txt, 1)"
"cook"	"(Moby_Dick.txt, 43)"
"could"	"(Adventures_of_Huckleberry_Finn.txt, 24), (Moby_Dick.txt, 8)"
"couldn"	"(Adventures_of_Huckleberry_Finn.txt, 225), (Moby_Dick.txt, 8)"
"craft"	"(Moby_Dick.txt, 24), (Hamlet.txt, 1)"
"crew"	"(Moby_Dick.txt, 75)"
"d"	"(Hamlet.txt, 65), (Moby_Dick.txt, 50), (Adventures_of_Huckleberry_Finn.txt, 18)"
"daggoo"	"(Moby_Dick.txt, 24)"
"dark"	"(Adventures_of_Huckleberry_Finn.txt, 32), (Moby_Dick.txt, 14)"
"dat"	"(Adventures_of_Huckleberry_Finn.txt, 32), (Moby_Dick.txt, 1)"
"day"	"(Moby_Dick.txt, 79), (Adventures_of_Huckleberry_Finn.txt, 46), (Hamlet.txt, 14)"
"days"	"(Moby_Dick.txt, 29), (Adventures_of_Huckleberry_Finn.txt, 23)"
"dead"	"(Adventures_of_Huckleberry_Finn.txt, 28), (Moby_Dick.txt, 23), (Hamlet.txt, 11)"
"death"	"(Moby_Dick.txt, 51), (Hamlet.txt, 26), (Adventures_of_Huckleberry_Finn.txt, 10)"
"deck"	"(Moby_Dick.txt, 139), (Adventures_of_Huckleberry_Finn.txt, 2)"
"deep"	"(Moby_Dick.txt, 26), (Adventures_of_Huckleberry_Finn.txt, 3)"
"devil"	"(Moby_Dick.txt, 25), (Adventures_of_Huckleberry_Finn.txt, 4)"
"dey"	"(Adventures_of_Huckleberry_Finn.txt, 24)"
"dick"	"(Moby_Dick.txt, 57), (Adventures_of_Huckleberry_Finn.txt, 1)"
"did"	"(Adventures_of_Huckleberry_Finn.txt, 44), (Moby_Dick.txt, 24), (Hamlet.txt, 7)"
"didn"	"(Adventures_of_Huckleberry_Finn.txt, 361), (Moby_Dick.txt, 33), (Hamlet.txt, 1)"
"do"	"(Adventures_of_Huckleberry_Finn.txt, 98), (Moby_Dick.txt, 40), (Hamlet.txt, 20)"
